Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
36.2,8.85976703,0.162781761,69243.64167,1.648130105,111.9544608
36.3,8.768285535,0.16358124,69568.48805,1.644643835,112.2661311
36.4,9.358795715,0.164333139,70114.7277,1.638542941,112.7532585
36.5,9.594386697,0.165115632,70594.40705,1.632442009,113.1096111
36.6,9.773040461,0.165906387,71151.63817,1.62459794,113.4659649
36.7,9.649971211,0.166723898,72050.00867,1.611306556,113.9705232
36.8,9.872676827,0.167519372,72870.39935,1.599758338,114.4565586
36.9,9.7196834,0.168347286,73778.54558,1.587120624,114.9785529
37,9.918283187,0.169152682,74534.68316,1.576661861,115.4024721
37.1,9.714170203,0.16999264,75217.49144,1.567946187,115.8209386
37.2,9.992147432,0.170800304,76289.60827,1.553783277,116.4083224
37.3,9.826267931,0.17164561,77471.39554,1.538312975,117.0207667
37.4,9.967928491,0.172471881,78357.74018,1.527418422,117.5111611
37.5,9.803710043,0.173325421,79053.32786,1.520010101,117.9852056
37.6,10.12781573,0.174146311,79753.82108,1.513909176,118.5377173
37.7,9.837670481,0.175017779,80187.06696,1.513037583,119.0793266
37.8,10.03917412,0.175856434,80520.16181,1.512601821,119.5097839
37.9,9.934798739,0.176722397,80794.58236,1.513473377,119.9554955
38,10.0161932,0.177583012,80965.0113,1.516523865,120.4284529
38.1,10.25343672,0.178427424,81082.90396,1.519574368,120.8229476
38.2,9.959132096,0.179320711,80956.56713,1.529597342,121.4016098
38.3,9.678957025,0.180217341,80728.00706,1.53831297,121.7394337
38.4,10.27984389,0.181051789,80522.56391,1.546592902,122.0739946
38.5,10.09941037,0.181949584,80270.36991,1.558359019,122.6003479
38.6,10.07690246,0.182839927,79988.45399,1.567946237,122.9272769
38.7,10.17325277,0.183734685,79746.55435,1.576661903,123.2542051
38.8,10.4657649,0.184610163,79498.48728,1.585377588,123.5713284
38.9,10.20678097,0.185531768,79180.38251,1.595836348,123.9091521
39,10.25741503,0.186434551,79038.21604,1.603244661,124.2774926
39.1,10.21454081,0.187339787,78839.3078,1.611088746,124.5902533
39.2,10.34579898,0.188245532,78678.05985,1.620240198,125.0686603
39.3,10.11881302,0.189182941,78739.21447,1.622854872,125.389048
39.4,10.61870301,0.190070061,78744.2436,1.62677697,125.7159801
39.5,10.22797091,0.191029047,78905.2291,1.629827409,126.2248959
39.6,10.34509589,0.191954346,79207.27438,1.628084291,126.573621
39.7,10.40403674,0.192888751,79627.77249,1.624598036,126.9593964
39.8,10.35824675,0.193835776,80087.07338,1.620240205,127.3353643
39.9,10.15037372,0.194799777,80592.04948,1.615882357,127.7756262
40,10.62490791,0.195716976,80988.02084,1.613703494,128.2148037
40.1,10.39791599,0.196691868,81726.94553,1.60716673,128.8435943
40.2,10.56241435,0.197641986,82185.53222,1.603244704,129.2424488
40.3,10.11931118,0.198642877,82614.90067,1.60019418,129.658734
